Timestamp,MainIncoming_kW,CHWRT,CWRT,CHWST,CWST,CHW Flow,CDW Flow,heat_in,heat_out,lift,chwdt,cwdt,DemoSite Demo avgHum,DemoSite Demo avgTemp,DemoSite Demo Calculated Wet Bulb
2023-05-31T02:15:00+08:00 Singapore,42.77424799601237kW,9.601271629333496°C,28.990433756510416°C,8.273404947916667°C,27.7653076171875°C,37.360085805257164L/s,40.78460489908854L/s,20.54741908526163_RT,40.525179783048756_RT,20.71702880859375Δ°C,1.327866681416829Δ°C,1.2251261393229171Δ°C,78.25%RH,28°C,24.95428680546416°C
2023-05-31T02:30:00+08:00 Singapore,42.82713190714518kW,9.717811648050944°C,28.848651123046874°C,8.242548624674479°C,27.51777547200521°C,37.3743403116862L/s,40.835653686523436L/s,21.961696234896163_RT,43.63072774578695_RT,20.606102498372394Δ°C,1.4752630233764652Δ°C,1.3308756510416657Δ°C,78.5%RH,28°C,24.990835061582747°C
2023-05-31T02:45:00+08:00 Singapore,42.77450866699219kW,9.798663139343262°C,28.772845458984374°C,8.215029907226562°C,27.47927042643229°C,37.383202107747394L/s,40.76656595865885L/s,22.955974030793758_RT,42.34854341524903_RT,20.557815551757812Δ°C,1.5836332321167Δ°C,1.2935750325520843Δ°C,78.75%RH,28°C,25.0273588895378°C
2023-05-31T03:00:00+08:00 Singapore,42.75767288208008kW,9.599427731831868°C,28.796126302083334°C,8.194972737630208°C,27.753165690104165°C,37.35469156901042L/s,40.778848520914714L/s,21.16395575490904_RT,34.48435366443508_RT,20.601153564453128Δ°C,1.4044549942016609Δ°C,1.0429606119791686Δ°C,79%RH,28°C,25.063858559388002°C
2023-05-31T03:15:00+08:00 Singapore,42.804724884033206kW,9.854313405354818°C,28.815264892578124°C,8.191883341471355°C,27.642987060546876°C,37.33889567057292L/s,40.76810099283854L/s,23.68217547038695_RT,38.60621078983284_RT,20.623381551106768Δ°C,1.6624300638834626Δ°C,1.1722778320312486Δ°C,79.5%RH,28°C,25.13678649324946°C
2023-05-31T03:30:00+08:00 Singapore,34.02646725972493kW,9.489642651875814°C,28.204034423828126°C,8.363462320963542°C,27.38229777018229°C,37.072672780354814L/s,40.803412119547524L/s,16.17718272259825_RT,26.806752381457592_RT,19.840572102864584Δ°C,1.1261803309122715Δ°C,0.8217366536458357Δ°C,80%RH,28°C,25.209620976963805°C
2023-05-31T03:45:00+08:00 Singapore,36.14010836283366kW,10.561875152587891°C,27.886421712239585°C,9.277829996744792°C,26.934912109375°C,37.117749277750654L/s,40.780383046468096L/s,19.722641194294006_RT,30.53306435233686_RT,18.608591715494793Δ°C,1.2840451558430992Δ°C,0.9515096028645864Δ°C,80.5%RH,28°C,25.282364087849963°C
2023-05-31T04:00:00+08:00 Singapore,41.75897725423177kW,9.884685961405436°C,28.309763590494793°C,8.355181884765624°C,26.923274739583334°C,37.09656041463216L/s,40.80456314086914L/s,22.377748237020903_RT,44.47192404735875_RT,19.95458170572917Δ°C,1.529504076639812Δ°C,1.3864888509114586Δ°C,81%RH,28°C,25.355017867546064°C
2023-05-31T04:15:00+08:00 Singapore,31.94076639811198kW,9.385894521077473°C,27.660599772135416°C,8.457088216145833°C,26.909566243489582°C,37.08538691202799L/s,40.77500940958659L/s,13.721634414895178_RT,24.07729411255071_RT,19.203511555989586Δ°C,0.9288063049316406Δ°C,0.7510335286458343Δ°C,81.25%RH,28°C,25.391311886644512°C
2023-05-31T04:30:00+08:00 Singapore,37.74017384847005kW,10.675828870137533°C,27.862103271484376°C,9.168509928385417°C,26.850860595703125°C,37.10002670288086L/s,40.76771672566732L/s,22.443339265092042_RT,32.34858240697187_RT,18.69359334309896Δ°C,1.507318941752116Δ°C,1.0112426757812507Δ°C,81.5%RH,28°C,25.427584322784686°C
2023-05-31T04:45:00+08:00 Singapore,41.971998850504555kW,9.780343818664551°C,28.399796549479166°C,8.332558186848958°C,27.20279744466146°C,37.07537053426107L/s,40.76886800130208L/s,21.594420541925_RT,38.7926142608047_RT,20.067238362630206Δ°C,1.4477856318155933Δ°C,1.1969991048177064Δ°C,81.75%RH,28°C,25.463835421477896°C
2023-05-31T05:00:00+08:00 Singapore,30.512310282389322kW,9.701183700561524°C,27.70020751953125°C,8.582373046875°C,27.064451090494792°C,37.196730041503905L/s,40.778079732259116L/s,15.385227975082659_RT,20.49895106185191_RT,19.11783447265625Δ°C,1.1188106536865234Δ°C,0.6357564290364586Δ°C,82%RH,28°C,25.500065426147007°C
2023-05-31T05:15:00+08:00 Singapore,40.74494590759277kW,10.74960371653239°C,27.954398600260415°C,9.120387776692708°C,26.606516520182293°C,37.30961532592774L/s,40.75351587931315L/s,24.591713297549003_RT,42.72495087326916_RT,18.83401082356771Δ°C,1.629215939839682Δ°C,1.3478820800781222Δ°C,82%RH,28°C,25.500065426147007°C
2023-05-31T05:30:00+08:00 Singapore,41.368109639485674kW,10.239474487304687°C,28.131532796223958°C,8.591272989908854°C,26.778993733723958°C,37.308074696858725L/s,40.80763397216797L/s,23.915129153562063_RT,43.1504893324667_RT,19.540259806315106Δ°C,1.6482014973958332Δ°C,1.3525390625Δ°C,82%RH,28°C,25.500065426147007°C
2023-05-31T05:45:00+08:00 Singapore,41.620811716715494kW,9.802750333150227°C,28.026007080078124°C,8.245374552408855°C,27.07815144856771°C,37.291507466634116L/s,40.817613728841145L/s,22.4089788878343_RT,30.577562482381673_RT,19.78063252766927Δ°C,1.5573757807413724Δ°C,0.9478556315104143Δ°C,82%RH,28°C,25.500065426147007°C
